"id","mahallead","adano","parselno","tapucinsaciklama","tapumahalleref","tapualan","kadastroalan","geom"
680029602,DÝKMEN,"7504","9","6 KATLI BETONARME MESKEN VE ARSASI ",55927,606.0,601.227715705203,"POLYGON ((32.831659344088 39.886970188146, 32.831490710086 39.886942293481, 32.831500502548 39.886667705732, 32.831516331992 39.886648725482, 32.831538695575 39.886634978392, 32.831567811219 39.886632949307, 32.831730618188 39.886652999913, 32.831659344088 39.886970188146))"
680029604,DÝKMEN,"7506","21",-Apartman--Beton-,55927,494.0,496.313385549458,"POLYGON ((32.832120429954 39.889318978974, 32.831841632963 39.889252828401, 32.831910563673 39.889081718865, 32.832187727639 39.889146065649, 32.832120429954 39.889318978974))"
680029607,DÝKMEN,"7506","8",Beton Apartman,55927,466.0,464.335383194122,"POLYGON ((32.832708778556 39.888585277338, 32.832431963579 39.888522373307, 32.832490465982 39.888359804289, 32.832771250138 39.888424875426, 32.832708778556 39.888585277338))"
680029608,DÝKMEN,"7508","1",BAÐ,55927,675.0,670.383023729483,"POLYGON ((32.831785687379 39.891187388696, 32.832223972697 39.891299702733, 32.832136754033 39.891346589143, 32.832037606087 39.89139489915, 32.831933333663 39.891435005943, 32.831711797342 39.8913774041, 32.831785687379 39.891187388696))"
680029610,DÝKMEN,"7515","14",ÇATI ARALI 6 KATLI BETONARME DÜKKAN OFÝS VE ARSASI,55927,1185.0,1187.1925355031,"POLYGON ((32.824578088837 39.894327626622, 32.82498444238 39.894310048869, 32.82499539109 39.894464253042, 32.825007864207 39.894616748298, 32.824598588071 39.894633421019, 32.824589269334 39.894482281455, 32.824578088837 39.894327626622))"
680029616,DÝKMEN,"7515","4",ÝÞYERÝ BETON,55927,819.0,815.863809198866,"POLYGON ((32.825236419226 39.894445163583, 32.825212011967 39.894111804107, 32.825463304425 39.894102006064, 32.825504806787 39.894426294889, 32.825236419226 39.894445163583))"
680029619,DÝKMEN,"7515","5",TARLA,55927,772.0,774.871620930768,"POLYGON ((32.82499539109 39.894464253042, 32.82498444238 39.894310048869, 32.82497275971 39.894122700518, 32.825212011967 39.894111804107, 32.825236419226 39.894445163583, 32.825228231172 39.894446502111, 32.82499539109 39.894464253042))"
680029621,DÝKMEN,"7517","14",TARLA,55927,620.0,621.27173534191,"POLYGON ((32.828513337508 39.894110166512, 32.828447316747 39.893812951349, 32.828661591237 39.893783908151, 32.82872597314 39.894082291554, 32.828513337508 39.894110166512))"
680029624,DÝKMEN,"7517","15",Arsa,55927,619.0,616.064010012306,"POLYGON ((32.828301750487 39.894139483597, 32.828235614818 39.893841817803, 32.828447316747 39.893812951349, 32.828513337508 39.894110166512, 32.828301750487 39.894139483597))"
680029627,DÝKMEN,"7517","3",BETONARME KARGÝR APARTMAN,55927,617.0,618.994527413059,"POLYGON ((32.827727053664 39.89452040629, 32.827661621659 39.894222741237, 32.827874375943 39.894194417753, 32.82793980885 39.894492082689, 32.827727053664 39.89452040629))"
680029629,DÝKMEN,"7517","4",TARLA,55927,619.0,620.349057613946,"POLYGON ((32.82793980885 39.894492082689, 32.827874375943 39.894194417753, 32.828087711521 39.894167355616, 32.828153261118 39.894465470949, 32.82793980885 39.894492082689))"
680029631,DÝKMEN,"7517","5",Apartman - Beton,55927,623.0,622.837141735922,"POLYGON ((32.828153261118 39.894465470949, 32.828087711521 39.894167355616, 32.828301750487 39.894139483597, 32.828366597197 39.894438498384, 32.828153261118 39.894465470949))"
680029633,DÝKMEN,"7517","6",Arsa,55927,624.0,620.580555041688,"POLYGON ((32.828366597197 39.894438498384, 32.828301750487 39.894139483597, 32.828513337508 39.894110166512, 32.828578884402 39.894410082834, 32.828366597197 39.894438498384))"
680029636,DÝKMEN,"7521","18",Apartman - Beton,55927,567.0,567.589198801365,"POLYGON ((32.827918210653 39.8933588797, 32.828267492198 39.893344357849, 32.828277201157 39.893482888916, 32.828279460785 39.89351441427, 32.82792947482 39.89352974571, 32.827918210653 39.8933588797))"
680029638,DÝKMEN,"7522","15",Ýþ Yeri - Beton,55927,511.0,509.645425822462,"POLYGON ((32.827047729524 39.892847556641, 32.827380397123 39.892836525017, 32.827382937606 39.892895700111, 32.827387825252 39.892997928815, 32.827057026925 39.893009233291, 32.827047729524 39.892847556641))"
680029641,DÝKMEN,"7523","20","5 KATLI BETONARME MESKEN VE ARSASI ",55927,575.0,572.187215225906,"POLYGON ((32.826164978928 39.89289297716, 32.826518583157 39.89287900742, 32.826528136812 39.893031318017, 32.826529260305 39.893049422357, 32.826175774177 39.893062581773, 32.826164978928 39.89289297716))"
680029643,DÝKMEN,"7524","14",TARLA,55927,168.0,168.856214016843,"POLYGON ((32.825546769166 39.892405707753, 32.825533454576 39.892215925132, 32.825626882969 39.892212193244, 32.825640197816 39.892401975787, 32.825546769166 39.892405707753))"
680029646,DÝKMEN,"7524","15",TARLA,55927,168.0,168.856214565163,"POLYGON ((32.825453340511 39.892409439644, 32.825440026178 39.892219657081, 32.825533454576 39.892215925132, 32.825546769166 39.892405707753, 32.825453340511 39.892409439644))"
680029647,DÝKMEN,"7524","16",TARLA,55927,293.0,290.83007353008,"POLYGON ((32.825289869625 39.892415947727, 32.825278472363 39.892254087588, 32.825295589773 39.892235560418, 32.825323211602 39.892224254221, 32.825440026178 39.892219657081, 32.825453340511 39.892409439644, 32.825289869625 39.892415947727))"
680029649,DÝKMEN,"7524","17",BETONARME KARKAS BÝNA,55927,570.0,570.043118928604,"POLYGON ((32.825289869625 39.892415947727, 32.825453340511 39.892409439644, 32.825546769166 39.892405707753, 32.825640197816 39.892401975787, 32.82565227462 39.892572843199, 32.825301945561 39.892586815241, 32.825289869625 39.892415947727))"
680029652,DÝKMEN,"7524","18",Ýþ Yeri---Beton-,55927,555.0,554.334549059499,"POLYGON ((32.825301945561 39.892586815241, 32.82565227462 39.892572843199, 32.825663895681 39.892739026747, 32.825313682701 39.892752998999, 32.825301945561 39.892586815241))"
680029654,DÝKMEN,"7524","8",TARLA,55927,555.0,555.003684826475,"POLYGON ((32.825674580754 39.892905478989, 32.825663895681 39.892739026747, 32.826014108528 39.892725053436, 32.826024794441 39.892891505649, 32.825674580754 39.892905478989))"
680029656,DÝKMEN,"7528","16","5 Katlý Betonarme Mesken ve Arsasý.",55927,608.0,607.533785571467,"POLYGON ((32.824352129973 39.891562804164, 32.824715782905 39.891548765212, 32.824730769205 39.891723960128, 32.824364545211 39.891737184761, 32.824352129973 39.891562804164))"
680029658,DÝKMEN,"7528","17",TARLA,55927,611.0,608.75833108491,"POLYGON ((32.824364545211 39.891737184761, 32.824730769205 39.891723960128, 32.824743421336 39.891897530507, 32.824376841063 39.891912555868, 32.824364545211 39.891737184761))"
680029663,DÝKMEN,"7528","8",Apartman - Beton,55927,670.0,664.377812751272,"POLYGON ((32.824777616144 39.890959397032, 32.824806905605 39.890890002866, 32.824883676083 39.890769795029, 32.825219880148 39.890881440711, 32.82518461229 39.890957130262, 32.82515296215 39.891035437236, 32.824777616144 39.890959397032))"
680029666,DÝKMEN,"7529","10",iþ yeri beton,55927,492.0,490.177371419634,"POLYGON ((32.825299233638 39.891998070201, 32.825287184148 39.891816845464, 32.825471702633 39.891808928005, 32.825558114666 39.891805455704, 32.825569691675 39.891804662613, 32.825584664876 39.891985891658, 32.825486090986 39.891990156181, 32.825299233638 39.891998070201))"
680029669,DÝKMEN,"7529","3",BETONARME KARKAS DÜKKAN,55927,161.0,163.846023233788,"POLYGON ((32.825584664876 39.891985891658, 32.825569691675 39.891804662613, 32.825665458564 39.891800663902, 32.825678678232 39.891981890433, 32.825584664876 39.891985891658))"
680029670,DÝKMEN,"7529","4",BETONARME DÜKKAN,55927,161.0,159.855398844799,"POLYGON ((32.825678678232 39.891981890433, 32.825665458564 39.891800663902, 32.825757133285 39.891796659022, 32.825772106756 39.891977978127, 32.825678678232 39.891981890433))"
680029672,DÝKMEN,"7529","5",BETONARME DÜKKAN,55927,171.0,167.275695055911,"POLYGON ((32.825772106756 39.891977978127, 32.825757133285 39.891796659022, 32.825785195587 39.891795980732, 32.825855706888 39.891792394269, 32.825867406429 39.891973888601, 32.825772106756 39.891977978127))"
680029673,DÝKMEN,"7529","6",TARLA,55927,297.0,299.497607989613,"POLYGON ((32.825867406429 39.891973888601, 32.825855706888 39.891792394269, 32.826029116606 39.891784999638, 32.826040582764 39.891966493602, 32.825867406429 39.891973888601))"
680029675,DÝKMEN,"7530","1",TARLA,55927,2434.0,2425.93145659987,"POLYGON ((32.826109436902 39.89196314485, 32.826080292324 39.891513148709, 32.826646705651 39.891490130543, 32.826675620538 39.891939946177, 32.826109436902 39.89196314485))"
